"vendor_id","pickup_at","dropoff_at","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code_id","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","total_amount"
"VTS",2010-12-03 00:22:00.000000,2010-12-03 00:30:00.000000,1,1.99,-73.982185,40.76809,"1",,-73.99622,40.74306,"CSH",7.3,0.5,0.5,0,0,8.3
"VTS",2010-12-05 01:37:00.000000,2010-12-05 01:41:00.000000,1,0.78,-73.9864,40.72962,"1",,-73.98122,40.736362,"CRD",4.1,0.5,0.5,1,0,6.1
"VTS",2010-12-01 12:14:00.000000,2010-12-01 12:36:00.000000,2,2.06,-73.99695,40.737186,"1",,-73.97543,40.75727,"CSH",11.7,0,0.5,0,0,12.2
"VTS",2010-12-05 06:44:00.000000,2010-12-05 06:58:00.000000,1,5.03,-73.98933,40.7482,"1",,-73.921616,40.743973,"CSH",13.3,0,0.5,0,0,13.8
"VTS",2010-12-03 08:28:00.000000,2010-12-03 08:51:00.000000,1,2.61,-73.95514,40.765327,"1",,-73.98457,40.744514,"CSH",12.5,0,0.5,0,0,13
"VTS",2010-12-05 03:23:00.000000,2010-12-05 03:32:00.000000,1,2.34,-74.00689,40.744213,"1",,-73.97389,40.743404,"CRD",8.1,0.5,0.5,0,0,9.1
"VTS",2010-12-02 12:54:00.000000,2010-12-02 13:22:00.000000,1,11.72,-73.86558,40.77097,"1",,-73.98784,40.74396,"CRD",28.5,0,0.5,0,4.57,33.57
"VTS",2010-12-01 15:15:00.000000,2010-12-01 15:33:00.000000,1,3.46,-73.96983,40.75991,"1",,-73.98788,40.719196,"CSH",12.1,0,0.5,0,0,12.6
"VTS",2010-12-01 12:23:00.000000,2010-12-01 12:37:00.000000,1,1.28,-73.99221,40.743626,"1",,-73.98574,40.753067,"CSH",8.1,0,0.5,0,0,8.6
"VTS",2010-12-01 16:17:00.000000,2010-12-01 16:28:00.000000,2,0.75,-73.97317,40.75298,"1",,-73.97175,40.762142,"CRD",6.5,1,0.5,1,0,9
"VTS",2010-12-01 21:24:00.000000,2010-12-01 21:39:00.000000,2,3.18,-73.99543,40.75978,"1",,-73.99026,40.731934,"CRD",10.5,0.5,0.5,2,0,13.5
"VTS",2010-12-01 07:08:00.000000,2010-12-01 07:13:00.000000,1,0.67,-73.97715,40.74716,"1",,-73.986374,40.751846,"CSH",4.9,0,0.5,0,0,5.4
"VTS",2010-12-01 13:01:00.000000,2010-12-01 13:04:00.000000,1,0.38,-73.976105,40.77607,"1",,-73.9793,40.771652,"CRD",3.7,0,0.5,0.8,0,5
"VTS",2010-12-01 09:43:00.000000,2010-12-01 09:51:00.000000,1,0.92,-73.983,40.76118,"1",,-73.99154,40.749676,"CSH",5.7,0,0.5,0,0,6.2
"CMT",2010-12-04 07:25:16.000000,2010-12-04 07:27:07.000000,1,0.4,-73.993904,40.75687,"1","N",-74.001114,40.757294,"CSH",3.3,0,0.5,0,0,3.8
"CMT",2010-12-04 07:31:31.000000,2010-12-04 07:34:55.000000,3,0.7,-73.99598,40.76386,"1","N",-73.98506,40.75978,"CSH",4.5,0,0.5,0,0,5
"CMT",2010-12-04 07:36:47.000000,2010-12-04 07:38:25.000000,1,0.8,-73.98701,40.733433,"1","N",-73.98016,40.74314,"CSH",3.7,0,0.5,0,0,4.2
"CMT",2010-12-02 13:10:12.000000,2010-12-02 13:13:40.000000,2,0.7,-73.99645,40.737217,"1","N",-74.007195,40.741764,"CSH",4.1,0,0.5,0,0,4.6
"CMT",2010-12-02 13:15:57.000000,2010-12-02 13:29:02.000000,1,2.4,-73.987564,40.72933,"1","N",-74.0038,40.715897,"CSH",8.5,0,0.5,0,0,9
"CMT",2010-12-02 13:21:46.000000,2010-12-02 13:35:32.000000,1,1.1,-73.96725,40.77219,"1","N",-73.977615,40.757935,"CSH",8.1,0,0.5,0,0,8.6
"VTS",2010-12-03 07:09:00.000000,2010-12-03 07:11:00.000000,2,0.48,0,0,"1",,0,0,"CSH",3.7,0,0.5,0,0,4.2
"VTS",2010-12-04 13:27:00.000000,2010-12-04 13:37:00.000000,1,1.3,-73.97291,40.747475,"1",,-73.9925,40.74939,"CSH",6.9,0,0.5,0,0,7.4
"VTS",2010-12-01 12:25:00.000000,2010-12-01 12:45:00.000000,1,2.29,-73.98544,40.7386,"1",,-74.00658,40.72069,"CSH",11.3,0,0.5,0,0,11.8
"VTS",2010-12-03 12:18:00.000000,2010-12-03 12:33:00.000000,1,3.65,-73.96236,40.779114,"1",,-73.95958,40.815567,"CRD",11.7,0,0.5,3,0,15.2
"VTS",2010-12-02 08:55:00.000000,2010-12-02 09:02:00.000000,1,0.71,-73.99379,40.74147,"1",,-73.98623,40.747375,"CRD",5.3,0,0.5,2,0,7.8
"VTS",2010-12-01 14:10:00.000000,2010-12-01 14:26:00.000000,1,1.47,-73.99521,40.749672,"1",,-73.983925,40.74051,"CRD",8.9,0,0.5,2,0,11.4
"VTS",2010-12-04 18:41:00.000000,2010-12-04 18:59:00.000000,2,4.76,-73.99246,40.730484,"1",,-73.9674,40.701572,"CRD",14.5,0,0.5,3,0,18
"CMT",2010-12-02 13:33:06.000000,2010-12-02 13:45:04.000000,1,1.1,-73.99133,40.750175,"1","N",-73.98602,40.758804,"CSH",7.7,0,0.5,0,0,8.2
"VTS",2010-12-04 14:37:00.000000,2010-12-04 14:47:00.000000,5,1.61,-73.98082,40.688564,"1",,-73.9632,40.671658,"CSH",7.7,0,0.5,0,0,8.2
"VTS",2010-12-04 17:16:00.000000,2010-12-04 17:25:00.000000,1,1.4,-73.96193,40.780693,"1",,-73.979675,40.783836,"CSH",6.9,0,0.5,0,0,7.4
